;;;;14
-71.8661;-14.4103;-41.5606;8.5;14
-72.7209;3.82389;-41.0727;10.2704;14
-70.4257;18.8437;-42.0669;9.73679;14
-69.4887;37.5616;-43.2737;9.92192;14
-72.6737;51.0324;-41.1348;9.59208;14
-56.7295;-59.3128;-40.0359;10.3288;14
-56.7253;-39.1702;-41.7862;9.50868;14
-53.8017;-25.0217;-40.3444;9.31218;14
-57.4563;-7.19447;-41.9372;10.0834;14
-54.6568;9.3984;-39.7332;10.2811;14
-55.4001;25.8247;-41.6886;9.89022;14
-57.3201;42.3971;-40.4383;9.6706;14
-53.7803;60.5905;-39.7575;9.62047;14
-40.3915;-80.4985;-40.8318;8.5;14
-41.4018;-65.9838;-38.9194;9.46189;14
-42.9009;-47.5574;-41.8215;8.5;14
-42.9674;-31.4699;-42.3279;8.64528;14
-40.1078;-13.3298;-40.7293;9.60474;14
-42.075;2.0114;-39.8614;9.25091;14
-41.7758;19.9275;-42.3552;8.59492;14
-41.3282;34.2403;-41.4646;8.78789;14
-39.8897;54.1837;-40.8712;9.53739;14
-40.7494;67.938;-42.23;10.3601;14
-27.5978;-72.6844;-42.9771;9.39388;14
-28.1389;-58.1303;-40.4029;10.4418;14
-25.0507;-38.5256;-43.04;9.23225;14
-24.549;-22.2175;-39.671;9.9908;14
-24.4384;-5.04302;-40.3278;8.87426;14
-25.4602;9.73004;-41.1855;8.5;14
-28.2194;27.0146;-41.9463;9.3773;14
-27.1138;44.2117;-41.8818;9.59228;14
-27.9601;60.5592;-40.9723;9.41372;14
-24.8054;77.2105;-41.8196;9.57316;14
-12.9458;-83.0742;-42.2233;8.61093;14
-13.1089;-67.697;-39.1017;10.0617;14
-12.254;-49.3187;-42.076;9.18212;14
-9.59978;-33.3308;-39.9162;9.50911;14
-13.4078;-15.7272;-40.6675;8.69144;14
-10.8838;0.0741679;-41.4586;8.66025;14
-12.3652;20.2436;-39.2043;9.95302;14
-9.52621;34.3289;-39.265;8.5;14
-11.0927;52.8995;-39.0658;10.1789;14
-11.1058;70.8353;-40.1804;9.43087;14
-9.77385;87.2367;-39.8671;8.5;14
2.85384;-89.5309;-42.1402;9.11671;14
4.72972;-75.0006;-41.1473;8.55271;14
2.15865;-59.8259;-39.2446;9.47364;14
3.55339;-40.628;-39.531;8.5;14
4.89916;-25.4899;-39.0563;9.5216;14
1.15622;-7.97946;-42.4616;10.2613;14
3.29397;10.3635;-41.2022;8.61838;14
4.4974;27.4667;-39.0261;8.90471;14
0.911987;42.8757;-40.0194;10.0973;14
1.22502;60.5306;-40.9848;8.5;14
4.19995;76.5228;-40.8089;9.14274;14
17.6566;-82.3757;-42.1679;8.5;14
18.4595;-65.2747;-38.9683;10.2625;14
18.1282;-46.4505;-40.5286;8.89095;14
17.7374;-31.7565;-41.3221;8.5;14
19.2418;-15.5496;-41.7576;9.48375;14
19.7647;2.02332;-42.3211;9.10927;14
17.9601;17.6295;-40.0616;9.27102;14
19.3148;37.0301;-43.2878;9.9124;14
17.0716;51.9547;-39.7982;10.0976;14
18.7888;68.4002;-40.7609;10.3155;14
16.367;87.4287;-41.2298;10.0767;14
33.0295;-75.6857;-42.571;8.64912;14
30.4353;-56.5185;-40.2728;9.0958;14
34.1525;-41.1558;-40.1444;10.005;14
33.2054;-25.415;-41.2712;10.1242;14
34.0555;-8.13325;-42.3771;8.5;14
34.3424;9.98649;-42.6377;8.5;14
33.9643;29.5344;-39.9485;8.93213;14
33.509;46.479;-38.9324;10.038;14
34.2634;59.5417;-39.838;9.38769;14
33.6537;79.8825;-40.4942;8.95437;14
47.9018;-65.2492;-41.6284;8.94443;14
47.0765;-47.7181;-39.6932;9.52788;14
47.7134;-29.8682;-39.3559;10.3176;14
46.8568;-15.1857;-42.8916;10.067;14
46.2689;3.41228;-42.3955;8.5;14
47.7142;16.6131;-43.2803;10.1627;14
46.7833;38.4757;-41.1358;9.52653;14
46.3734;51.7632;-42.8842;9.67637;14
46.937;69.3571;-39.5378;9.92643;14
60.525;-55.1084;-38.9969;9.8308;14
64.0986;-42.0239;-39.7094;8.94562;14
61.0082;-23.437;-39.6998;8.55006;14
63.9992;-7.39106;-42.5005;9.67674;14
63.9823;8.04882;-39.5191;10.0114;14
63.3148;26.3418;-42.625;10.0357;14
61.5663;42.1113;-41.5605;8.88075;14
62.1467;60.5554;-42.2004;9.23144;14
74.9126;-32.6729;-43.1412;9.0112;14
77.6674;-14.6984;-41.2798;8.62851;14
76.2244;-0.343341;-41.5903;10.2851;14
78.7959;19.9899;-42.841;8.99017;14
76.5495;34.058;-41.7206;9.23964;14
90.3873;-4.4781;-40.5319;8.7003;14
-95.2517;-13.2803;-24.7572;8.77145;14
-95.6816;1.12904;-25.6424;9.92316;14
-81.0487;-41.5664;-24.2288;9.90428;14
-81.9133;-23.4037;-27.5727;9.5595;14
-79.0703;-4.55991;-26.7144;10.0423;14
-82.8965;10.8886;-26.5122;10.1274;14
-82.6557;27.757;-24.9813;10.0349;14
-80.4063;44.6123;-28.1512;9.88358;14
-64.1501;-67.9847;-26.035;8.5;14
-64.5632;-48.9693;-25.992;8.77835;14
-64.2031;-31.1423;-25.4737;9.74862;14
-64.1852;-12.8761;-27.0439;9.28066;14
-65.8477;4.47515;-26.1198;8.5;14
-65.5186;20.4974;-26.8458;8.59094;14
-64.7555;35.2026;-27.1252;10.0497;14
-64.5742;50.6634;-26.1608;9.27992;14
-66.8181;68.7466;-26.7169;9.4554;14
-49.6126;-72.2148;-27.8335;8.99661;14
-49.6343;-58.3236;-26.4492;9.25063;14
-51.5183;-39.7653;-26.4475;9.3425;14
-52.9145;-23.2304;-28.0736;9.77632;14
-50.8356;-7.23692;-27.942;9.73264;14
-53.489;8.49869;-26.3404;8.9409;14
-51.2413;26.8153;-24.2423;9.14375;14
-49.8849;45.6832;-24.4454;9.78011;14
-50.3951;62.5937;-25.8518;8.75947;14
-51.8761;78.5868;-28.3069;8.72318;14
-36.5612;-81.9635;-26.1773;10.3133;14
-35.1186;-67.6614;-27.044;8.88636;14
-38.7878;-47.0895;-27.2707;10.1598;14
-36.1385;-30.1598;-25.7805;9.32899;14
-34.7438;-13.8239;-26.754;8.77558;14
-36.678;4.53864;-27.7921;8.5;14
-38.4474;18.3878;-27.4509;9.50184;14
-38.6239;34.7271;-24.4748;8.5;14
-38.1392;52.174;-28.2485;9.223;14
-38.6265;67.6009;-25.607;8.5;14
-35.4423;85.7452;-24.7254;10.2803;14
-22.1616;-90.923;-24.8427;10.3383;14
-20.0818;-72.1614;-27.0915;10.1729;14
-20.0742;-59.9874;-26.1794;9.74517;14
-21.9694;-40.6437;-26.677;8.61701;14
-21.7506;-21.1018;-24.7522;10.094;14
-19.931;-5.49239;-28.3544;8.5;14
-21.3148;11.7015;-25.7034;8.5;14
-22.8726;28.8553;-27.8912;8.64731;14
-21.1433;44.8122;-28.102;9.74786;14
-21.796;62.1662;-26.4303;9.66986;14
-23.2379;78.8516;-28.0391;9.43208;14
-5.59682;-80.8497;-28.4584;9.37792;14
-9.16956;-66.8985;-26.6184;9.47884;14
-8.66083;-48.6709;-24.2729;9.13807;14
-8.49633;-29.713;-25.2832;8.77274;14
-5.88593;-13.1599;-28.0137;9.41095;14
-5.273;2.10286;-27.6221;8.53399;14
-6.71341;21.3789;-25.7652;9.60397;14
-7.05923;35.1477;-27.4604;9.34522;14
-8.18402;51.4552;-26.5922;8.65073;14
-9.53472;71.9869;-24.201;8.6207;14
-9.20044;88.3003;-25.5007;8.64271;14
9.41126;-90.0826;-25.3063;10.3115;14
6.09152;-76.4381;-25.1917;9.7822;14
9.38199;-58.7326;-25.8922;9.33001;14
5.45889;-39.9542;-24.9873;9.62018;14
8.18713;-25.7348;-27.1688;8.72878;14
9.14196;-8.97796;-27.7804;10.2426;14
5.1122;9.74022;-24.8907;9.14542;14
9.33716;29.6506;-27.9936;10.081;14
6.09072;43.7085;-25.3146;10.3766;14
7.06326;63.6953;-24.5011;10.1832;14
5.80807;77.9381;-28.4844;9.05381;14
8.17679;95.7279;-26.7126;10.0208;14
22.3165;-82.5714;-25.1377;9.14669;14
23.5964;-65.6997;-25.8596;9.51617;14
23.4863;-47.0534;-27.7351;10.114;14
22.773;-31.7965;-26.0708;9.7203;14
21.8128;-16.1318;-25.5694;10.0142;14
22.3296;1.01867;-26.8838;9.03568;14
23.4044;18.1721;-28.4673;9.62583;14
23.0296;34.8937;-27.5028;9.48752;14
20.2653;51.1255;-24.3739;9.78732;14
19.9228;69.1019;-27.3735;9.41126;14
23.4892;84.4608;-24.661;9.48309;14
38.2773;-75.936;-26.9959;9.08221;14
34.8313;-56.9276;-27.2902;8.68961;14
37.4541;-39.9235;-27.2435;9.92192;14
37.5488;-23.2548;-28.0321;9.98008;14
37.3956;-7.24578;-24.6629;9.68117;14
34.7348;9.06735;-26.3174;8.8148;14
37.2796;25.3729;-24.6967;9.96675;14
36.8391;42.2221;-27.3689;9.84583;14
38.3171;63.6516;-24.9795;8.5;14
36.4603;78.9462;-24.7545;8.5;14
50.1993;-66.6778;-24.1931;10.2137;14
49.6812;-50.7923;-24.9942;10.1728;14
49.6156;-33.4501;-24.6935;8.55599;14
52.7695;-15.5536;-26.8612;9.21838;14
51.9022;1.73912;-28.4856;10.0155;14
49.8611;17.8029;-28.5635;9.04577;14
49.9547;34.9982;-24.8931;9.38364;14
53.3119;54.8861;-24.6897;8.65695;14
52.154;72.467;-27.4415;9.78828;14
66.3826;-59.0227;-28.0585;8.99162;14
66.6893;-42.2392;-24.9071;8.84857;14
67.5258;-23.1873;-24.5327;10.3678;14
65.4668;-5.39707;-26.8504;8.9529;14
66.1582;9.27373;-24.8501;9.2484;14
64.776;25.4136;-25.565;9.8348;14
66.4943;46.9982;-25.76;10.0347;14
64.942;61.8731;-27.5438;10.0508;14
79.2056;-51.2631;-25.7538;10.1042;14
81.8468;-34.1755;-24.6743;10.2512;14
80.3768;-16.9386;-25.1791;8.88357;14
79.6337;-0.262982;-26.4776;9.30496;14
83.1011;17.7949;-24.8635;9.79833;14
79.1435;33.7745;-28.3351;8.5;14
78.9457;54.5493;-26.5313;10.3516;14
-98.2453;0.925183;-12.0256;10.2755;14
-84.2257;-42.1458;-11.7495;9.08598;14
-83.9083;-23.252;-9.75055;10.4098;14
-85.2503;-7.12372;-12.5742;8.91246;14
-83.0738;11.4668;-12.1259;10.149;14
-84.7212;29.5585;-13.1183;8.5;14
-83.9718;42.137;-10.8065;9.39125;14
-70.7955;-68.4058;-9.77546;8.78734;14
-68.9679;-49.3692;-12.1125;9.51949;14
-69.5035;-32.6429;-9.82646;9.37135;14
-72.4746;-15.9198;-11.0894;9.40543;14
-70.8933;3.36646;-10.0135;8.76929;14
-68.4759;17.2165;-12.9737;8.58719;14
-69.1137;36.3313;-11.8997;9.59908;14
-71.7615;53.9384;-13.1484;8.9755;14
-53.9428;-75.453;-9.5082;8.85847;14
-56.7165;-58.0652;-12.483;9.39962;14
-57.6584;-39.0943;-10.2814;8.57706;14
-57.4144;-24.1005;-11.8577;8.5;14
-54.9527;-7.16135;-11.8177;9.00601;14
-53.8813;8.35716;-12.9015;10.0595;14
-57.49;29.9467;-13.1672;8.5;14
-54.5998;44.8418;-12.3232;9.28257;14
-57.9679;59.9397;-10.4979;9.74725;14
-42.6329;-83.4147;-13.6162;10.0889;14
-39.1054;-64.6279;-11.4012;9.79525;14
-40.945;-49.3848;-10.7006;8.52157;14
-40.9075;-32.5876;-12.3925;9.80366;14
-42.1224;-14.229;-13.6058;10.014;14
-41.2493;3.30256;-10.7602;9.48602;14
-38.9577;20.3229;-10.6542;10.0097;14
-41.8577;37.0362;-13.5607;9.33057;14
-42.902;52.0009;-12.6998;8.5;14
-42.8093;70.793;-12.6103;8.74544;14
-42.9795;85.0901;-13.8123;8.5;14
-27.6061;-93.0417;-13.6215;9.62079;14
-28.3775;-77.0486;-13.2099;10.1441;14
-24.2309;-56.2541;-11.9654;10.3899;14
-27.0806;-42.0674;-9.53317;10.4383;14
-26.4134;-22.0264;-12.3218;10.2193;14
-24.9677;-7.52181;-10.2463;8.54228;14
-24.951;9.15696;-10.0409;9.43114;14
-27.6119;28.4827;-9.97782;10.2555;14
-28.3393;42.4446;-10.7491;9.06343;14
-24.4549;59.1817;-13.1379;8.80537;14
-24.6759;77.8548;-11.9789;9.85517;14
-24.7328;94.5862;-13.7524;10.1999;14
-13.5533;-83.2642;-11.1143;8.5;14
-12.8717;-65.2204;-13.5124;8.5;14
-12.918;-48.4548;-9.53417;9.49539;14
-11.0665;-32.4761;-11.7445;10.4018;14
-9.65385;-14.0764;-10.2891;8.5;14
-10.3165;0.951775;-11.5805;10.2021;14
-10.5212;16.8304;-11.4734;9.08701;14
-11.6681;34.2643;-12.6419;8.56015;14
-9.9689;50.8699;-10.5522;8.54843;14
-10.1935;67.5805;-11.6251;9.0735;14
-11.8392;87.3975;-12.7935;8.5;14
4.54218;-91.5805;-10.6068;8.69412;14
1.73871;-76.0106;-12.4592;8.5;14
1.49129;-59.4622;-12.7083;8.86284;14
1.75312;-41.004;-13.1989;9.63019;14
1.10398;-21.2309;-10.2413;9.21799;14
0.988925;-7.54821;-12.0345;8.63646;14
3.40581;7.95431;-12.6772;10.1133;14
3.26168;25.086;-13.6281;9.05314;14
1.99401;44.0249;-10.6227;9.3009;14
2.32347;59.5027;-10.6366;9.45512;14
3.01735;76.7273;-10.15;8.91847;14
3.32027;94.2246;-11.0535;10.2647;14
18.9963;-85.2561;-10.0498;9.35595;14
16.2683;-68.134;-10.206;9.47166;14
15.9788;-51.5204;-9.77754;9.86583;14
15.6376;-33.4239;-10.1814;9.65096;14
16.2985;-16.3275;-11.5166;8.57311;14
16.2765;1.38747;-11.2426;9.38448;14
19.9303;21.0431;-10.7706;9.88972;14
19.7685;38.045;-13.1853;8.5;14
18.2553;54.4488;-11.9505;8.5;14
17.3996;71.7536;-9.7049;10.3965;14
15.7912;84.5222;-12.5414;8.5;14
31.8832;-93.8062;-12.032;8.83098;14
33.7815;-76.7252;-12.0981;9.41174;14
32.915;-55.3233;-10.3329;9.45135;14
34.2955;-39.046;-9.65797;9.62386;14
31.4499;-21.184;-12.0392;9.89423;14
33.6247;-6.55201;-11.0986;8.88235;14
33.9083;11.7902;-12.9579;10.3784;14
31.1872;28.7325;-10.7347;9.24443;14
33.7682;46.1789;-13.1081;9.56238;14
33.1864;63.6916;-9.99456;8.6173;14
32.5341;79.3176;-9.57153;10.0567;14
45.736;-82.7309;-10.8011;8.5;14
48.7481;-68.0889;-12.1288;9.53328;14
48.2745;-47.9032;-12.3134;9.34097;14
48.8085;-31.8151;-13.1034;9.05733;14
45.3395;-14.4188;-10.8594;9.15165;14
46.5235;0.260725;-10.8298;10.1585;14
47.7357;17.8754;-13.4998;10.1742;14
48.3908;34.4718;-10.1511;9.51622;14
45.9911;55.5107;-12.5476;8.5;14
46.1936;67.9822;-9.65015;9.24156;14
47.7753;85.7106;-13.0943;8.6403;14
60.7972;-74.1023;-11.3302;10.3036;14
60.1107;-55.4248;-13.3388;9.61516;14
61.3028;-42.6742;-11.8065;9.39919;14
62.7513;-25.7433;-12.4047;9.28468;14
63.4579;-7.71699;-11.5504;9.83406;14
60.7085;9.43498;-13.2692;10.2245;14
62.0381;28.9144;-10.319;9.92591;14
63.2034;46.1943;-11.2789;9.50542;14
63.3386;63.8143;-10.7765;10.0981;14
61.1622;77.6831;-13.7121;8.90529;14
77.7239;-47.6748;-10.9928;8.5;14
77.5151;-29.9394;-11.3095;8.60685;14
74.9605;-14.2971;-10.9435;10.4528;14
74.8944;0.696645;-10.6104;8.5;14
77.1884;17.9062;-13.8128;8.69993;14
74.7373;34.7208;-12.6393;8.5;14
75.0677;51.3135;-10.3458;9.24246;14
89.6603;-22.2055;-11.7533;8.5;14
90.1295;-4.24824;-10.0757;9.67018;14
89.62;12.1266;-10.716;8.94815;14
89.5829;26.9814;-11.2267;8.57982;14
89.1957;43.5781;-9.81823;10.0381;14
-93.7351;-16.7883;2.35038;9.45997;14
-95.7338;2.90696;3.16327;9.65336;14
-95.9399;18.5505;2.1722;10.2032;14
-79.8482;-55.7662;3.02606;8.5;14
-82.7174;-41.7014;4.85127;9.80047;14
-80.7886;-22.946;2.34977;9.80139;14
-79.0268;-6.05337;3.75519;9.46528;14
-82.0067;10.4321;2.55874;8.90491;14
-80.6049;25.4132;1.21196;8.5;14
-82.8366;44.0516;2.35589;10.2457;14
-78.9526;61.124;3.35721;9.4202;14
-64.102;-65.5156;1.46147;8.86781;14
-64.2225;-46.9066;4.80097;10.2617;14
-68.468;-33.3416;3.10274;8.92266;14
-68.4907;-14.3586;1.4207;10.4365;14
-67.762;-0.0687358;3.52591;10.3306;14
-64.3596;17.0034;3.39228;10.4477;14
-65.1953;36.802;3.18595;10.4249;14
-65.7418;51.8249;3.62122;9.47993;14
-64.8725;70.5213;3.19526;8.5;14
-49.7993;-75.1665;2.92714;8.5823;14
-50.1662;-59.6431;4.21791;8.71413;14
-51.6159;-42.4253;3.52115;8.72965;14
-52.2097;-24.4339;3.90038;8.58632;14
-49.6998;-5.49337;2.36937;8.5;14
-52.8067;10.2768;3.84857;8.5;14
-53.0525;25.5959;3.06249;8.5;14
-50.1145;42.8981;5.10304;9.8444;14
-50.8895;63.7084;1.57545;9.04923;14
-51.5362;77.8187;1.29143;9.76208;14
-35.1206;-84.1124;3.75668;9.36644;14
-39.0413;-67.4176;3.19619;9.15764;14
-36.7631;-50.2966;4.61706;8.5;14
-35.5977;-32.8759;2.51668;9.95707;14
-38.2835;-13.9819;3.34434;8.97516;14
-36.793;3.2073;4.13448;8.90095;14
-38.2603;20.0752;2.37839;10.1518;14
-38.5707;36.7987;1.04395;8.89588;14
-35.5583;50.5694;2.85559;9.82839;14
-35.4349;71.8035;1.52249;10.4423;14
-34.977;87.9757;3.30346;9.58234;14
-20.4709;-93.9292;1.6253;9.51832;14
-20.396;-76.3795;4.59845;8.53528;14
-23.7124;-57.6671;1.08318;9.2155;14
-23.908;-40.2429;1.32045;9.25268;14
-21.0551;-22.9972;3.70595;8.5;14
-20.3947;-5.09517;3.38535;8.55675;14
-20.212;9.72254;4.4041;10.1133;14
-24.1934;27.5216;0.969725;8.5874;14
-19.9637;47.0325;1.79598;9.19996;14
-22.1828;63.9466;2.23764;9.89483;14
-22.5229;76.7938;1.70986;9.60554;14
-23.5922;96.0568;1.15691;9.90756;14
-7.4651;-98.934;0.929601;10.0776;14
-5.63692;-80.5666;3.7272;8.73414;14
-9.19887;-66.9041;2.97025;10.3839;14
-7.83299;-49.2237;2.01435;8.64791;14
-7.58047;-29.8289;2.11543;9.4445;14
-9.17806;-14.3046;3.13301;9.71029;14
-8.47321;1.79866;3.98884;8.5;14
-6.22558;17.232;1.02303;8.51996;14
-6.1979;34.592;3.99087;9.22465;14
-6.06438;51.8374;3.70008;8.5;14
-7.99579;71.8464;2.06558;10.3283;14
